LMS Adaption MSE: cafe noise,LMS Speech MSE: cafe noise,LMS Mean SNR: cafe noise,LMS Mean Delta SNR: cafe noise,LMS Mean Clock-time: cafe noise
nan,nan,nan,nan,nan
